//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 937018
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00937018;2;01/06/1985;1;18,8;74,4;20;20;1;1;0;962,4;1;3,6;0,7;0,3;0;0;0;0;0;0;0;0;0,6;1,8;0,9;0,3;7,9;4,4;4,4;1,5;18,8;1,7;8,8;2,3;0;0,8;7,2;0,5;6,5;1,4;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/07/1985;1;15,5;86;15;22;1;1;0;962,4;1;0;5;11,2;0;0,4;3,6;0,7;0;0;5,9;0,2;0;6,7;7,6;15,5;5;1,7;2,9;10,7;1,2;2,1;0;0,6;0,2;0;0;0,2;0,5;1,2;2,9;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/08/1985;1;21;106;3;18;1;1;0;962,4;1;3,8;6,6;21;5,2;5,8;16,2;8,5;0;4,6;2,6;2,5;0,7;0;0;0;4,1;1,7;0;0;16;0;0;0;0;0,8;0;1,5;0;0,4;4;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/09/1985;1;3,3;16,5;13;11;1;1;0;962,4;1;0,4;0;1;2,6;2,9;0,5;3,1;0;0;0;0;0;3,3;0,8;0,5;0,2;0;0;0;0;0;0;0;0;1,2;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/10/1985;1;0;0;1;;1;1;0;962,4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/11/1985;1;11,9;35,7;7;6;1;1;0;962,4;1;0;0;0;0;0;0;11,9;0;10,3;3;0;1,6;0;0;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/12/1985;1;35;61,5;8;6;1;1;0;962,4;1;0;0;15,2;0;0;0;0;35;2,6;0;7,2;0;0;0;0;0;0;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/01/1986;1;10,8;24,3;4;3;1;1;0;624;1;0;0;0;10,8;0;0;0;0;0;9,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/02/1986;1;56;58,2;5;3;1;1;0;624;1;0;0;0;0;56;0;1,6;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00937018;2;01/03/1986;1;34;70,9;2;6;1;1;0;624;1;0;34;0;0;4,5;0;0;0;0;0;0;10;8,4;8,8;5,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/04/1986;1;13,6;36;16;8;1;1;0;624;1;9,6;0;0;0;0;0;0;0;0;0;0;0;0;1,8;0,2;13,6;1,3;0;8;0,3;0;0;1,2;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/05/1986;1;13;89;4;21;1;1;0;624;1;2,6;11;9,5;13;1,2;4,9;1;0;0;0;0;10,8;1;0;0;1,4;1,6;0;0;0;7,8;1;6,1;1,8;1,7;7,3;0,7;2;0,3;2,3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/06/1986;1;12,7;64,6;5;18;1;1;0;624;1;0;0;0,9;11,7;12,7;0,6;0;0,2;0;0;0,3;8;6,2;0,2;0;0;0;2,8;6,2;0;1,4;1,6;3,5;4,4;3,3;0;0;0;0,2;0,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/07/1986;1;18;72,3;10;19;1;1;0;624;1;1,3;0,4;1,2;0;0;5,2;6,6;4,6;3;18;0,2;1,6;0,4;0,4;0,3;15,2;2;0;0;10,6;0,8;0;0;0,3;0;0;0;0;0;0,2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/08/1986;1;13,4;36,9;29;11;1;1;0;624;1;0,2;0;0;2,3;0,3;0;5,9;2,1;3,7;0;4;1,5;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;13,4;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/09/1986;1;10;48,4;2;18;1;1;0;624;1;0;10;7,8;2,7;0,3;0,5;0;0,4;0,4;3,2;1,2;0,3;5,5;0,3;0,6;7,3;0;5,2;0;0,4;2,1;0,2;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/10/1986;1;4,3;6,8;2;4;1;1;0;624;1;1,4;4,3;0,3;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/11/1986;1;43;101,5;26;6;1;1;0;624;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;17,1;38;1;2;0;43;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/12/1986;1;5,8;15,1;16;6;1;1;0;624;1;0;0;0;0;0,3;0;0;0;0;0,2;0;0;0;0;0;5,8;3,2;0;0;0;0;0;0;0;0;0;5,4;0,2;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/01/1987;1;3,2;9,7;7;4;1;1;0;400;1;0;0;2,2;0;0;0;3,2;0;0;1,6;0;0;0;0;0;0;0;0;0;0;0;0;0;2,7;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/02/1987;1;3,2;6,3;18;7;1;1;0;400;1;0;0,6;0;0;0;0;0,2;0;0;0;0;0;0,8;0;0;1;0,2;3,2;0;0;0,3;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00937018;2;01/03/1987;1;54;114,9;31;8;1;1;0;400;1;0;0;0;0;0;0;0;0;0;2,8;27,5;0;1;12,3;0;16,1;0;0;0,7;0;0;0,5;0;0;0;0;0;0;0;0;54;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/04/1987;1;12,6;71,2;12;15;1;1;0;400;1;11,2;11,2;0;0;0;0;0;0;0;0;11;12,6;0;2,7;0;0;7,6;0;1,1;0,9;0;3,5;2,1;1,1;0;0,8;4,2;0,4;0,8;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/05/1987;1;5,8;15,6;19;6;1;1;0;400;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,8;3;5,8;0,4;0;0;0;0;0;0;0;1,4;0;0;2,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/06/1987;1;12,4;54;30;15;1;1;0;400;1;0;0;0;0;0,8;3,8;4;0,2;3,4;3,4;0;0,3;0;0;0;8,8;0;2,5;4,3;0;0;1;0;0;0;0;2;5,7;1,4;12,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/07/1987;1;23,4;82,7;3;15;1;1;0;400;1;13,4;0;23,4;19;0,8;0;4,1;0,4;0;0;0,2;1,7;0;0;0;2,2;8,2;0;0;1,6;0,2;0;0;0;4,4;2;0;0;1,1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/08/1987;1;11;38,6;24;12;1;1;0;400;1;0;0;0,8;0,4;4,4;0;0;0;0;0;0;0;3;1;5;0;1;0;0;0;0;0,4;0;11;0,4;0;6,4;0;4,8;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/09/1987;1;1,7;3,1;15;3;1;1;0;400;1;0;0;1,2;0;0;0;0;0;0;0;0;0;0;0,2;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/10/1987;1;0;0;1;;1;1;0;400;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/11/1987;1;3,9;3,9;4;1;1;1;0;400;1;0;0;0;3,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/12/1987;1;0;0;1;;1;1;0;400;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/01/1988;1;32;39,3;12;3;1;1;0;830;1;0;0;0;0;0;0;0;0;0;0;0;32;6,9;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/02/1988;1;2,6;2,6;25;1;1;1;0;830;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,6;0;0;0;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
00937018;2;01/03/1988;1;21,1;91,2;21;12;1;1;0;830;1;0;0;0;0;7;5,6;0;0;0;20,5;16;7,2;0;0,2;3,1;0;0;0;0;0;21,1;0;0;0;0;0;2,6;0,8;5,4;1,7;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/04/1988;1;30,6;130,4;29;12;1;1;0;830;1;0;3;1;0;0,8;0;0;0;0,3;0;15,8;3,8;0;0;0;13,8;0;0;0;6,6;0;0;0;0;10,2;23,7;0;0;30,6;20,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/05/1988;1;18,9;60,5;1;9;1;1;0;830;1;18,9;6,4;0,2;0;4,5;0;1,3;0;0;0;0;0;14,4;0;0;0;1;0;0;0;1,8;12;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/06/1988;1;26,3;147,7;24;17;1;1;0;830;1;0;0;7,8;8,6;0;0;10,4;15,4;3;9,6;13,8;13,2;0;0;0;0;0,4;2,4;0;2;0;0;0;26,3;7,8;1;0;10;12,4;3,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/07/1988;1;37,4;186,8;10;22;1;1;0;830;1;6,8;11;9,4;4,1;2;0,7;1,8;0,3;0;37,4;10,4;12,3;0;30;5,2;2,8;2,2;13,2;12,8;6,1;0;5,9;2,2;0;0,2;0;0;10;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/08/1988;1;7,4;47;7;19;1;1;0;830;1;0;1,4;0,7;0;0,4;1,2;7,4;0,4;2;0;0;0;1,7;0;3,7;7,2;0;0;0;2,6;1;1,5;0;0;2,6;0,7;0,4;1,6;4,1;6,4;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/09/1988;1;8,4;29,1;7;14;1;1;0;830;1;0;0;0;0,2;0;1,6;8,4;5,2;2,8;0;1;0,4;0,2;0;0;0;0;0,1;2,4;0,3;0,7;5;0,8;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/10/1988;1;4,7;11,2;2;6;1;1;0;830;1;0;4,7;0,4;0,2;0;0;0;0;0;0;0;0;0;0;3,9;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/11/1988;1;1,8;2,3;7;3;1;1;0;830;1;0;0;0;0;0;0;1,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0,3;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/12/1988;1;39,5;81,9;5;8;1;1;0;830;1;0;0;0;0;39,5;0;19,7;6;0,7;3,3;0;0;0;0;0;0;10,2;1,8;0,7;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/01/1989;1;22,3;26,3;11;3;1;1;0;1022,8;1;0;0;0;0;0;0;0;0;0;0;22,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,8;0,2;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/02/1989;1;0;0;1;;1;1;0;1022,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00937018;2;01/03/1989;1;25,1;78,2;23;11;1;1;0;1022,8;1;0;0;0;0;0;10,6;0,4;0;0;0;0;0;0;0;0;0;0,4;0;0;2;6;0;25,1;0,5;0;1,2;0;2;21,5;8,5;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/04/1989;1;70,7;131,7;24;11;1;1;0;1022,8;1;0;0;0;0;0;15;2,6;0,7;0,4;1,7;7,8;0;0;0;0;0;1;0;0;0;0;0;2;70,7;0;19,2;10,6;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/05/1989;1;26,9;199,1;15;20;1;1;0;1022,8;1;0;0;0;4,1;11,7;0;0;0;0;10,8;14,6;16,8;15,7;8,3;26,9;3,7;1,8;0,7;26,6;16,1;2,8;23;0;3,2;7,5;0;1,3;0;0,5;0;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/06/1989;1;18,3;82,8;24;16;1;1;0;1022,8;1;17,9;0,4;0,6;0,5;0;0;4,4;3;0;0;0,4;0;12,1;0,5;0;4,6;0;16,4;0,8;0,6;0;1;1,3;18,3;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/07/1989;1;30,4;186,7;3;25;1;1;0;1022,8;1;18,6;7,6;30,4;12,8;12,3;5,8;9,4;13,4;7,6;1,6;5,7;5,6;1;2,4;0,8;0;2,4;4;0,2;3;8,2;3,2;4,1;15;9;2,6;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/08/1989;1;9,6;55,6;19;17;1;1;0;1022,8;1;0;0;0;1;2,2;0;9;0;0;0;0;0;0;2,5;8,3;1;0;0,6;9,6;0,5;4,6;1,4;0;0;1;1,4;0;4,5;1,8;5,4;0,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/09/1989;1;45,6;79;22;8;1;1;0;1022,8;1;13,8;0;0;0;1,8;2,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;9,4;45,6;1,8;0;3,4;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/10/1989;1;4,4;5,4;22;2;1;1;0;1022,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,4;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/11/1989;1;59,8;95;9;10;1;1;0;1022,8;1;0;0;1,6;0;0;0;7,2;0;59,8;0;4,6;1,2;0;10,2;0;0;0;0,4;6,2;0,4;0;3,4;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/12/1989;1;22,2;83;4;14;1;1;0;1022,8;1;0;0;3,6;22,2;0,6;0;0,5;4;0,8;0;0;0;0;0;0;12,6;3,6;11,5;2,2;0;0;9,2;0,6;6,2;5,4;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/01/1990;1;7,8;13,2;3;5;1;1;0;358,3;2;2;0;7,8;0;0;1,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;1,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/02/1990;1;48;55;17;2;1;1;0;358,3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;7;0;0;0;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00937018;2;01/03/1990;1;6,6;13,8;25;5;1;1;0;358,3;2;0;0;4;1,4;0;0;0;0;0;0,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6,6;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/04/1990;1;12,2;50,7;30;10;1;1;0;358,3;2;0;0;1,4;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2,4;0;0,5;3,6;12;0;0;2,8;9,2;1,6;12,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/05/1990;1;8,4;36;9;12;1;1;0;358,3;2;6,4;0;0;0;0;0,6;0;0;8,4;0;0;0;0,7;0,5;0;0;0;0;0;0;0;0;0;0;3,6;2,6;2,2;0,6;5,4;3,6;1,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/06/1990;1;13;47;13;11;1;1;0;358,3;2;0,8;9,4;0;4;0;0;0;0;0;2,2;0;0;13;2;1,8;0;0;0;0;0;0;0;0;0;1,2;5,8;0;0,4;0;6,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/07/1990;1;;53,4;;;0;2;0;358,3;2;13,4;6;0,6;3,4;2,7;1,6;0;0;0;30,1;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00937018;2;01/08/1990;1;;46,3;;;0;2;0;358,3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00937018;2;01/09/1990;1;;23,3;;;0;2;0;358,3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00937018;2;01/10/1990;1;;10,3;;;0;2;0;358,3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00937018;2;01/11/1990;1;;6,2;;;0;2;0;358,3;2;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2,2;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;
00937018;2;01/12/1990;1;3,1;3,1;25;1;1;1;0;358,3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/01/1991;1;4,1;4,4;1;3;1;1;0;580,8;1;4,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/02/1991;1;18,3;20,4;20;4;1;1;0;580,8;1;0;0;0;0;0;0,2;1,6;0;0;0;0;0;0;0;0;0;0;0;0;18,3;0;0;0;0;0,3;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00937018;2;01/03/1991;1;73,7;92,6;15;8;1;1;0;580,8;1;0;0;0;0;0;0;0;0;0,2;0;0,1;0;0;0;73,7;5,2;10,6;0,4;2,2;0,2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/04/1991;1;2,5;4,9;17;5;1;1;0;580,8;1;0;0;0;0,6;0;0;0,2;0;0;0;0;0;0,4;0;0;0;2,5;0;0;0;0;1,2;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/05/1991;1;35,2;129,9;20;20;1;1;0;580,8;1;0;9,4;0;0,2;1,2;4,8;0;0;0;2,7;3;0;0;7,1;10,5;0;0;0;2,2;35,2;8,9;2;5,2;6,6;16,2;0;0,2;6,7;2,7;2,3;2,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/06/1991;1;11,4;82,2;1;26;1;1;0;580,8;1;11,4;8,7;2;0;2,4;0;2,3;7;0,6;0,7;2,8;1,2;0;2,5;0,8;5,5;5,6;1,2;2,1;0;0,9;6,5;1,2;3,1;1,3;0,5;0,5;3,7;2,6;5,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937018;2;01/07/1991;1;8,1;47,4;31;19;1;1;0;580,8;1;5,5;0,2;0;0;0;0;0;2,2;2,4;0;0;0;0;0;0,9;0,6;0,7;1,9;7,4;2,1;3,1;0,8;0;0,5;0;0,4;4,5;2,5;0,8;2,8;8,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937018;2;01/08/1991;1;13,5;83,9;25;19;1;1;0;580,8;1;2;0,8;0;0;0;1,2;0;0;0;0;0;0;1;3;3,4;7,1;7,9;7,7;0;12;0,9;4,5;0;7;13,5;0,2;7,3;0,3;2,1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
